id,pid,value,date,sys
1916170,Zong,98,"2022-08-11 14:25:15.587","2022-08-11 14:25:15.591"
1916171,Zong,91,"2022-08-11 14:25:15.614","2022-08-11 14:25:15.645"
1916171,Zong,84,"2022-08-11 14:25:15.614","2022-08-11 14:25:15.645"
1916172,Zong,76,"2022-08-11 14:25:15.679","2022-08-11 14:25:15.684"
1916172,Zong,71,"2022-08-11 14:25:15.679","2022-08-11 14:25:15.684"
1916173,Zong,66,"2022-08-11 14:25:15.705","2022-08-11 14:25:15.708"
1916173,Zong,64,"2022-08-11 14:25:15.705","2022-08-11 14:25:15.708"
1916174,Zong,63,"2022-08-11 14:25:15.735","2022-08-11 14:25:15.738"
1916174,Zong,63,"2022-08-11 14:25:15.735","2022-08-11 14:25:15.738"
1916175,Zong,63,"2022-08-11 14:25:15.796","2022-08-11 14:25:15.800"
1916175,Zong,62,"2022-08-11 14:25:15.796","2022-08-11 14:25:15.800"
1916176,Zong,60,"2022-08-11 14:25:15.825","2022-08-11 14:25:15.828"
1916176,Zong,57,"2022-08-11 14:25:15.825","2022-08-11 14:25:15.828"
1916177,Zong,54,"2022-08-11 14:25:15.855","2022-08-11 14:25:15.859"
1916177,Zong,50,"2022-08-11 14:25:15.855","2022-08-11 14:25:15.859"
1916178,Zong,46,"2022-08-11 14:25:15.914","2022-08-11 14:25:15.940"
1916178,Zong,42,"2022-08-11 14:25:15.914","2022-08-11 14:25:15.940"
1916179,Zong,39,"2022-08-11 14:25:15.944","2022-08-11 14:25:15.948"
1916179,Zong,36,"2022-08-11 14:25:15.944","2022-08-11 14:25:15.948"
1916180,Zong,34,"2022-08-11 14:25:15.975","2022-08-11 14:25:15.980"
1916180,Zong,33,"2022-08-11 14:25:15.975","2022-08-11 14:25:15.980"
1916181,Zong,31,"2022-08-11 14:25:16.035","2022-08-11 14:25:16.039"
1916181,Zong,30,"2022-08-11 14:25:16.035","2022-08-11 14:25:16.039"
1916182,Zong,30,"2022-08-11 14:25:16.065","2022-08-11 14:25:16.069"
1916182,Zong,34,"2022-08-11 14:25:16.065","2022-08-11 14:25:16.069"
1916183,Zong,44,"2022-08-11 14:25:16.105","2022-08-11 14:25:16.109"
1916183,Zong,44,"2022-08-11 14:25:16.105","2022-08-11 14:25:16.109"
1916184,Zong,74,"2022-08-11 14:25:16.155","2022-08-11 14:25:16.159"
1916184,Zong,74,"2022-08-11 14:25:16.155","2022-08-11 14:25:16.159"
1916185,Zong,103,"2022-08-11 14:25:16.188","2022-08-11 14:25:16.191"
1916185,Zong,108,"2022-08-11 14:25:16.188","2022-08-11 14:25:16.191"
1916186,Zong,107,"2022-08-11 14:25:16.215","2022-08-11 14:25:16.243"
1916186,Zong,103,"2022-08-11 14:25:16.215","2022-08-11 14:25:16.243"
1916187,Zong,96,"2022-08-11 14:25:16.276","2022-08-11 14:25:16.284"
1916187,Zong,89,"2022-08-11 14:25:16.276","2022-08-11 14:25:16.284"
1916188,Zong,83,"2022-08-11 14:25:16.318","2022-08-11 14:25:16.323"
1916188,Zong,77,"2022-08-11 14:25:16.318","2022-08-11 14:25:16.323"
1916189,Zong,72,"2022-08-11 14:25:16.334","2022-08-11 14:25:16.338"
1916189,Zong,69,"2022-08-11 14:25:16.334","2022-08-11 14:25:16.338"
1916190,Zong,68,"2022-08-11 14:25:16.398","2022-08-11 14:25:16.402"
1916190,Zong,68,"2022-08-11 14:25:16.398","2022-08-11 14:25:16.402"
1916191,Zong,68,"2022-08-11 14:25:16.425","2022-08-11 14:25:16.428"
1916191,Zong,67,"2022-08-11 14:25:16.425","2022-08-11 14:25:16.428"
1916192,Zong,65,"2022-08-11 14:25:16.454","2022-08-11 14:25:16.458"
1916192,Zong,62,"2022-08-11 14:25:16.454","2022-08-11 14:25:16.458"
1916193,Zong,57,"2022-08-11 14:25:16.514","2022-08-11 14:25:16.541"
1916193,Zong,53,"2022-08-11 14:25:16.514","2022-08-11 14:25:16.541"
1916194,Zong,48,"2022-08-11 14:25:16.544","2022-08-11 14:25:16.549"
1916194,Zong,44,"2022-08-11 14:25:16.544","2022-08-11 14:25:16.549"
1916195,Zong,41,"2022-08-11 14:25:16.575","2022-08-11 14:25:16.580"
1916195,Zong,38,"2022-08-11 14:25:16.575","2022-08-11 14:25:16.580"
1916196,Zong,34,"2022-08-11 14:25:16.634","2022-08-11 14:25:16.639"
1916196,Zong,32,"2022-08-11 14:25:16.634","2022-08-11 14:25:16.639"
1916197,Zong,29,"2022-08-11 14:25:16.665","2022-08-11 14:25:16.669"
1916197,Zong,27,"2022-08-11 14:25:16.665","2022-08-11 14:25:16.669"
1916198,Zong,27,"2022-08-11 14:25:16.698","2022-08-11 14:25:16.702"
1916198,Zong,29,"2022-08-11 14:25:16.698","2022-08-11 14:25:16.702"
1916199,Zong,38,"2022-08-11 14:25:16.754","2022-08-11 14:25:16.758"
1916199,Zong,38,"2022-08-11 14:25:16.754","2022-08-11 14:25:16.758"
1916200,Zong,68,"2022-08-11 14:25:16.785","2022-08-11 14:25:16.789"
1916200,Zong,68,"2022-08-11 14:25:16.785","2022-08-11 14:25:16.789"
1916201,Zong,96,"2022-08-11 14:25:16.820","2022-08-11 14:25:16.841"
1916201,Zong,101,"2022-08-11 14:25:16.820","2022-08-11 14:25:16.841"
1916202,Zong,100,"2022-08-11 14:25:16.876","2022-08-11 14:25:16.887"
1916202,Zong,96,"2022-08-11 14:25:16.876","2022-08-11 14:25:16.887"
1916203,Zong,90,"2022-08-11 14:25:16.910","2022-08-11 14:25:16.913"
1916203,Zong,84,"2022-08-11 14:25:16.910","2022-08-11 14:25:16.913"
1916204,Zong,78,"2022-08-11 14:25:16.934","2022-08-11 14:25:16.939"
1916204,Zong,73,"2022-08-11 14:25:16.934","2022-08-11 14:25:16.939"
1916205,Zong,69,"2022-08-11 14:25:16.998","2022-08-11 14:25:17.003"
1916205,Zong,66,"2022-08-11 14:25:16.998","2022-08-11 14:25:17.003"
1916206,Zong,65,"2022-08-11 14:25:17.033","2022-08-11 14:25:17.037"
1916206,Zong,65,"2022-08-11 14:25:17.033","2022-08-11 14:25:17.037"
1916207,Zong,65,"2022-08-11 14:25:17.055","2022-08-11 14:25:17.058"
1916207,Zong,64,"2022-08-11 14:25:17.055","2022-08-11 14:25:17.058"
1916208,Zong,62,"2022-08-11 14:25:17.115","2022-08-11 14:25:17.140"
1916208,Zong,58,"2022-08-11 14:25:17.115","2022-08-11 14:25:17.140"
1916209,Zong,54,"2022-08-11 14:25:17.150","2022-08-11 14:25:17.153"
1916209,Zong,49,"2022-08-11 14:25:17.150","2022-08-11 14:25:17.153"
1916210,Zong,44,"2022-08-11 14:25:17.174","2022-08-11 14:25:17.178"
1916210,Zong,40,"2022-08-11 14:25:17.174","2022-08-11 14:25:17.178"
1916211,Zong,36,"2022-08-11 14:25:17.234","2022-08-11 14:25:17.241"
1916211,Zong,33,"2022-08-11 14:25:17.234","2022-08-11 14:25:17.241"
1916212,Zong,31,"2022-08-11 14:25:17.265","2022-08-11 14:25:17.269"
1916212,Zong,29,"2022-08-11 14:25:17.265","2022-08-11 14:25:17.269"
1916213,Zong,28,"2022-08-11 14:25:17.298","2022-08-11 14:25:17.304"
1916213,Zong,27,"2022-08-11 14:25:17.298","2022-08-11 14:25:17.304"
1916214,Zong,26,"2022-08-11 14:25:17.356","2022-08-11 14:25:17.360"
1916214,Zong,27,"2022-08-11 14:25:17.356","2022-08-11 14:25:17.360"
1916215,Zong,33,"2022-08-11 14:25:17.386","2022-08-11 14:25:17.390"
1916215,Zong,33,"2022-08-11 14:25:17.386","2022-08-11 14:25:17.390"
1916216,Zong,60,"2022-08-11 14:25:17.415","2022-08-11 14:25:17.440"
1916216,Zong,60,"2022-08-11 14:25:17.415","2022-08-11 14:25:17.440"
1916217,Zong,90,"2022-08-11 14:25:17.479","2022-08-11 14:25:17.483"
1916217,Zong,98,"2022-08-11 14:25:17.479","2022-08-11 14:25:17.483"
1916218,Zong,99,"2022-08-11 14:25:17.505","2022-08-11 14:25:17.509"
1916218,Zong,96,"2022-08-11 14:25:17.505","2022-08-11 14:25:17.509"
1916219,Zong,91,"2022-08-11 14:25:17.536","2022-08-11 14:25:17.539"
1916219,Zong,85,"2022-08-11 14:25:17.536","2022-08-11 14:25:17.539"
1916220,Zong,79,"2022-08-11 14:25:17.594","2022-08-11 14:25:17.603"
1916220,Zong,73,"2022-08-11 14:25:17.594","2022-08-11 14:25:17.603"
1916221,Zong,68,"2022-08-11 14:25:17.631","2022-08-11 14:25:17.635"
1916221,Zong,65,"2022-08-11 14:25:17.631","2022-08-11 14:25:17.635"
1916222,Zong,62,"2022-08-11 14:25:17.654","2022-08-11 14:25:17.658"
1916222,Zong,61,"2022-08-11 14:25:17.654","2022-08-11 14:25:17.658"
1916223,Zong,60,"2022-08-11 14:25:17.715","2022-08-11 14:25:17.742"
1916223,Zong,58,"2022-08-11 14:25:17.715","2022-08-11 14:25:17.742"
1916224,Zong,56,"2022-08-11 14:25:17.745","2022-08-11 14:25:17.750"
1916224,Zong,53,"2022-08-11 14:25:17.745","2022-08-11 14:25:17.750"
1916225,Zong,49,"2022-08-11 14:25:17.775","2022-08-11 14:25:17.779"
1916225,Zong,44,"2022-08-11 14:25:17.775","2022-08-11 14:25:17.779"
1916226,Zong,41,"2022-08-11 14:25:17.843","2022-08-11 14:25:17.847"
1916226,Zong,37,"2022-08-11 14:25:17.843","2022-08-11 14:25:17.847"
1916227,Zong,34,"2022-08-11 14:25:17.864","2022-08-11 14:25:17.868"
1916227,Zong,31,"2022-08-11 14:25:17.864","2022-08-11 14:25:17.868"
1916228,Zong,29,"2022-08-11 14:25:17.895","2022-08-11 14:25:17.899"
1916228,Zong,27,"2022-08-11 14:25:17.895","2022-08-11 14:25:17.899"
1916229,Zong,25,"2022-08-11 14:25:17.954","2022-08-11 14:25:17.958"
1916229,Zong,23,"2022-08-11 14:25:17.954","2022-08-11 14:25:17.958"
1916230,Zong,22,"2022-08-11 14:25:17.984","2022-08-11 14:25:17.988"
1916230,Zong,22,"2022-08-11 14:25:17.984","2022-08-11 14:25:17.988"
1916231,Zong,27,"2022-08-11 14:25:18.014","2022-08-11 14:25:18.039"
1916231,Zong,36,"2022-08-11 14:25:18.014","2022-08-11 14:25:18.039"
1916232,Zong,48,"2022-08-11 14:25:18.075","2022-08-11 14:25:18.079"
1916232,Zong,48,"2022-08-11 14:25:18.075","2022-08-11 14:25:18.079"
1916233,Zong,82,"2022-08-11 14:25:18.105","2022-08-11 14:25:18.114"
1916233,Zong,82,"2022-08-11 14:25:18.105","2022-08-11 14:25:18.114"
1916234,Zong,84,"2022-08-11 14:25:18.135","2022-08-11 14:25:18.139"
1916234,Zong,80,"2022-08-11 14:25:18.135","2022-08-11 14:25:18.139"
1916235,Zong,74,"2022-08-11 14:25:18.195","2022-08-11 14:25:18.199"
1916235,Zong,67,"2022-08-11 14:25:18.195","2022-08-11 14:25:18.199"
1916236,Zong,59,"2022-08-11 14:25:18.225","2022-08-11 14:25:18.230"
1916236,Zong,53,"2022-08-11 14:25:18.225","2022-08-11 14:25:18.230"
1916237,Zong,48,"2022-08-11 14:25:18.256","2022-08-11 14:25:18.261"
1916237,Zong,45,"2022-08-11 14:25:18.256","2022-08-11 14:25:18.261"
1916238,Zong,44,"2022-08-11 14:25:18.315","2022-08-11 14:25:18.320"
1916238,Zong,44,"2022-08-11 14:25:18.315","2022-08-11 14:25:18.320"
1916239,Zong,45,"2022-08-11 14:25:18.366","2022-08-11 14:25:18.372"
1916239,Zong,45,"2022-08-11 14:25:18.366","2022-08-11 14:25:18.372"
1916240,Zong,45,"2022-08-11 14:25:18.375","2022-08-11 14:25:18.379"
1916240,Zong,43,"2022-08-11 14:25:18.375","2022-08-11 14:25:18.379"
1916241,Zong,40,"2022-08-11 14:25:18.435","2022-08-11 14:25:18.438"
1916241,Zong,36,"2022-08-11 14:25:18.435","2022-08-11 14:25:18.438"
1916242,Zong,32,"2022-08-11 14:25:18.471","2022-08-11 14:25:18.474"
1916242,Zong,29,"2022-08-11 14:25:18.471","2022-08-11 14:25:18.474"
1916243,Zong,26,"2022-08-11 14:25:18.494","2022-08-11 14:25:18.498"
1916243,Zong,23,"2022-08-11 14:25:18.494","2022-08-11 14:25:18.498"
1916244,Zong,21,"2022-08-11 14:25:18.555","2022-08-11 14:25:18.559"
1916244,Zong,20,"2022-08-11 14:25:18.555","2022-08-11 14:25:18.559"
1916245,Zong,19,"2022-08-11 14:25:18.586","2022-08-11 14:25:18.590"
1916245,Zong,18,"2022-08-11 14:25:18.586","2022-08-11 14:25:18.590"
1916246,Zong,17,"2022-08-11 14:25:18.615","2022-08-11 14:25:18.639"
1916246,Zong,18,"2022-08-11 14:25:18.615","2022-08-11 14:25:18.639"
1916247,Zong,23,"2022-08-11 14:25:18.680","2022-08-11 14:25:18.685"
1916247,Zong,32,"2022-08-11 14:25:18.680","2022-08-11 14:25:18.685"
1916248,Zong,45,"2022-08-11 14:25:18.705","2022-08-11 14:25:18.708"
1916248,Zong,45,"2022-08-11 14:25:18.705","2022-08-11 14:25:18.708"
1916249,Zong,78,"2022-08-11 14:25:18.734","2022-08-11 14:25:18.738"
1916249,Zong,78,"2022-08-11 14:25:18.734","2022-08-11 14:25:18.738"
1916250,Zong,79,"2022-08-11 14:25:18.797","2022-08-11 14:25:18.803"
1916250,Zong,75,"2022-08-11 14:25:18.797","2022-08-11 14:25:18.803"
1916251,Zong,68,"2022-08-11 14:25:18.826","2022-08-11 14:25:18.830"
1916251,Zong,60,"2022-08-11 14:25:18.826","2022-08-11 14:25:18.830"
1916252,Zong,52,"2022-08-11 14:25:18.855","2022-08-11 14:25:18.861"
1916252,Zong,46,"2022-08-11 14:25:18.855","2022-08-11 14:25:18.861"
1916253,Zong,42,"2022-08-11 14:25:18.914","2022-08-11 14:25:18.938"
1916253,Zong,40,"2022-08-11 14:25:18.914","2022-08-11 14:25:18.938"
1916254,Zong,41,"2022-08-11 14:25:18.945","2022-08-11 14:25:18.948"
1916254,Zong,43,"2022-08-11 14:25:18.945","2022-08-11 14:25:18.948"
1916255,Zong,45,"2022-08-11 14:25:18.975","2022-08-11 14:25:18.979"
1916255,Zong,46,"2022-08-11 14:25:18.975","2022-08-11 14:25:18.979"
1916256,Zong,45,"2022-08-11 14:25:19.035","2022-08-11 14:25:19.040"
1916256,Zong,43,"2022-08-11 14:25:19.035","2022-08-11 14:25:19.040"
1916257,Zong,40,"2022-08-11 14:25:19.075","2022-08-11 14:25:19.078"
1916257,Zong,37,"2022-08-11 14:25:19.075","2022-08-11 14:25:19.078"
1916258,Zong,34,"2022-08-11 14:25:19.094","2022-08-11 14:25:19.097"
1916258,Zong,31,"2022-08-11 14:25:19.094","2022-08-11 14:25:19.097"
1916259,Zong,29,"2022-08-11 14:25:19.155","2022-08-11 14:25:19.162"
1916259,Zong,27,"2022-08-11 14:25:19.155","2022-08-11 14:25:19.162"
1916260,Zong,25,"2022-08-11 14:25:19.185","2022-08-11 14:25:19.188"
1916260,Zong,24,"2022-08-11 14:25:19.185","2022-08-11 14:25:19.188"
1916261,Zong,23,"2022-08-11 14:25:19.214","2022-08-11 14:25:19.228"
1916261,Zong,23,"2022-08-11 14:25:19.214","2022-08-11 14:25:19.228"
1916262,Zong,27,"2022-08-11 14:25:19.277","2022-08-11 14:25:19.283"
1916262,Zong,36,"2022-08-11 14:25:19.277","2022-08-11 14:25:19.283"
1916263,Zong,49,"2022-08-11 14:25:19.304","2022-08-11 14:25:19.308"
1916263,Zong,49,"2022-08-11 14:25:19.304","2022-08-11 14:25:19.308"
1916264,Zong,87,"2022-08-11 14:25:19.334","2022-08-11 14:25:19.339"
1916264,Zong,87,"2022-08-11 14:25:19.334","2022-08-11 14:25:19.339"
1916265,Zong,90,"2022-08-11 14:25:19.366","2022-08-11 14:25:19.370"
1916265,Zong,88,"2022-08-11 14:25:19.366","2022-08-11 14:25:19.370"
1916266,Zong,82,"2022-08-11 14:25:19.425","2022-08-11 14:25:19.429"
1916266,Zong,74,"2022-08-11 14:25:19.425","2022-08-11 14:25:19.429"
1916267,Zong,66,"2022-08-11 14:25:19.455","2022-08-11 14:25:19.458"
1916267,Zong,59,"2022-08-11 14:25:19.455","2022-08-11 14:25:19.458"
1916268,Zong,54,"2022-08-11 14:25:19.515","2022-08-11 14:25:19.540"
1916268,Zong,50,"2022-08-11 14:25:19.515","2022-08-11 14:25:19.540"
1916269,Zong,49,"2022-08-11 14:25:19.547","2022-08-11 14:25:19.550"
1916269,Zong,50,"2022-08-11 14:25:19.547","2022-08-11 14:25:19.550"
1916270,Zong,51,"2022-08-11 14:25:19.575","2022-08-11 14:25:19.580"
1916270,Zong,51,"2022-08-11 14:25:19.575","2022-08-11 14:25:19.580"
1916271,Zong,50,"2022-08-11 14:25:19.635","2022-08-11 14:25:19.640"
1916271,Zong,48,"2022-08-11 14:25:19.635","2022-08-11 14:25:19.640"
1916272,Zong,45,"2022-08-11 14:25:19.665","2022-08-11 14:25:19.669"
1916272,Zong,42,"2022-08-11 14:25:19.665","2022-08-11 14:25:19.669"
1916273,Zong,38,"2022-08-11 14:25:19.696","2022-08-11 14:25:19.702"
1916273,Zong,35,"2022-08-11 14:25:19.696","2022-08-11 14:25:19.702"
1916274,Zong,32,"2022-08-11 14:25:19.755","2022-08-11 14:25:19.758"
1916274,Zong,29,"2022-08-11 14:25:19.755","2022-08-11 14:25:19.758"
1916275,Zong,27,"2022-08-11 14:25:19.785","2022-08-11 14:25:19.789"
1916275,Zong,26,"2022-08-11 14:25:19.785","2022-08-11 14:25:19.789"
1916276,Zong,26,"2022-08-11 14:25:19.814","2022-08-11 14:25:19.871"
1916276,Zong,29,"2022-08-11 14:25:19.814","2022-08-11 14:25:19.871"
1916277,Zong,37,"2022-08-11 14:25:19.876","2022-08-11 14:25:19.881"
1916277,Zong,37,"2022-08-11 14:25:19.876","2022-08-11 14:25:19.881"
1916278,Zong,66,"2022-08-11 14:25:19.904","2022-08-11 14:25:19.908"
1916278,Zong,66,"2022-08-11 14:25:19.904","2022-08-11 14:25:19.908"
1916279,Zong,94,"2022-08-11 14:25:19.935","2022-08-11 14:25:19.939"
1916279,Zong,99,"2022-08-11 14:25:19.935","2022-08-11 14:25:19.939"
1916280,Zong,98,"2022-08-11 14:25:20.001","2022-08-11 14:25:20.011"
1916280,Zong,92,"2022-08-11 14:25:20.001","2022-08-11 14:25:20.011"
1916281,Zong,85,"2022-08-11 14:25:20.025","2022-08-11 14:25:20.032"
1916281,Zong,76,"2022-08-11 14:25:20.025","2022-08-11 14:25:20.032"
1916282,Zong,69,"2022-08-11 14:25:20.055","2022-08-11 14:25:20.060"
1916282,Zong,62,"2022-08-11 14:25:20.055","2022-08-11 14:25:20.060"
1916283,Zong,58,"2022-08-11 14:25:20.114","2022-08-11 14:25:20.136"
1916283,Zong,55,"2022-08-11 14:25:20.114","2022-08-11 14:25:20.136"
1916284,Zong,54,"2022-08-11 14:25:20.144","2022-08-11 14:25:20.148"
1916284,Zong,53,"2022-08-11 14:25:20.144","2022-08-11 14:25:20.148"
1916285,Zong,53,"2022-08-11 14:25:20.176","2022-08-11 14:25:20.182"
1916285,Zong,52,"2022-08-11 14:25:20.176","2022-08-11 14:25:20.182"
1916286,Zong,50,"2022-08-11 14:25:20.235","2022-08-11 14:25:20.238"
1916286,Zong,47,"2022-08-11 14:25:20.235","2022-08-11 14:25:20.238"
1916287,Zong,43,"2022-08-11 14:25:20.265","2022-08-11 14:25:20.269"
1916287,Zong,39,"2022-08-11 14:25:20.265","2022-08-11 14:25:20.269"
1916288,Zong,34,"2022-08-11 14:25:20.296","2022-08-11 14:25:20.300"
1916288,Zong,30,"2022-08-11 14:25:20.296","2022-08-11 14:25:20.300"
1916289,Zong,27,"2022-08-11 14:25:20.355","2022-08-11 14:25:20.374"
1916289,Zong,23,"2022-08-11 14:25:20.355","2022-08-11 14:25:20.374"
1916290,Zong,21,"2022-08-11 14:25:20.385","2022-08-11 14:25:20.392"
1916290,Zong,19,"2022-08-11 14:25:20.385","2022-08-11 14:25:20.392"
1916291,Zong,21,"2022-08-11 14:25:20.427","2022-08-11 14:25:20.438"
1916291,Zong,27,"2022-08-11 14:25:20.427","2022-08-11 14:25:20.438"
1916292,Zong,39,"2022-08-11 14:25:20.475","2022-08-11 14:25:20.479"
1916292,Zong,39,"2022-08-11 14:25:20.475","2022-08-11 14:25:20.479"
1916293,Zong,87,"2022-08-11 14:25:20.514","2022-08-11 14:25:20.517"
1916293,Zong,87,"2022-08-11 14:25:20.514","2022-08-11 14:25:20.517"
1916294,Zong,94,"2022-08-11 14:25:20.535","2022-08-11 14:25:20.539"
1916294,Zong,95,"2022-08-11 14:25:20.535","2022-08-11 14:25:20.539"
1916295,Zong,90,"2022-08-11 14:25:20.597","2022-08-11 14:25:20.601"
1916295,Zong,82,"2022-08-11 14:25:20.597","2022-08-11 14:25:20.601"
1916296,Zong,73,"2022-08-11 14:25:20.629","2022-08-11 14:25:20.633"
1916296,Zong,65,"2022-08-11 14:25:20.629","2022-08-11 14:25:20.633"
1916297,Zong,57,"2022-08-11 14:25:20.655","2022-08-11 14:25:20.658"
1916297,Zong,52,"2022-08-11 14:25:20.655","2022-08-11 14:25:20.658"
1916298,Zong,48,"2022-08-11 14:25:20.715","2022-08-11 14:25:20.738"
1916298,Zong,46,"2022-08-11 14:25:20.715","2022-08-11 14:25:20.738"
1916299,Zong,47,"2022-08-11 14:25:20.752","2022-08-11 14:25:20.756"
1916299,Zong,47,"2022-08-11 14:25:20.752","2022-08-11 14:25:20.756"
1916300,Zong,48,"2022-08-11 14:25:20.775","2022-08-11 14:25:20.779"
1916300,Zong,47,"2022-08-11 14:25:20.775","2022-08-11 14:25:20.779"
1916301,Zong,46,"2022-08-11 14:25:20.835","2022-08-11 14:25:20.839"
1916301,Zong,43,"2022-08-11 14:25:20.835","2022-08-11 14:25:20.839"
1916302,Zong,41,"2022-08-11 14:25:20.864","2022-08-11 14:25:20.868"
1916302,Zong,40,"2022-08-11 14:25:20.864","2022-08-11 14:25:20.868"
1916303,Zong,39,"2022-08-11 14:25:20.896","2022-08-11 14:25:20.900"
1916303,Zong,40,"2022-08-11 14:25:20.896","2022-08-11 14:25:20.900"
1916304,Zong,41,"2022-08-11 14:25:20.955","2022-08-11 14:25:20.958"
1916304,Zong,41,"2022-08-11 14:25:20.955","2022-08-11 14:25:20.958"
1916305,Zong,40,"2022-08-11 14:25:20.985","2022-08-11 14:25:20.990"
1916305,Zong,38,"2022-08-11 14:25:20.985","2022-08-11 14:25:20.990"
1916306,Zong,38,"2022-08-11 14:25:21.015","2022-08-11 14:25:21.033"
1916306,Zong,43,"2022-08-11 14:25:21.015","2022-08-11 14:25:21.033"
1916307,Zong,52,"2022-08-11 14:25:21.084","2022-08-11 14:25:21.101"
1916307,Zong,52,"2022-08-11 14:25:21.084","2022-08-11 14:25:21.101"
1916308,Zong,79,"2022-08-11 14:25:21.105","2022-08-11 14:25:21.109"
1916308,Zong,79,"2022-08-11 14:25:21.105","2022-08-11 14:25:21.109"
1916309,Zong,98,"2022-08-11 14:25:21.145","2022-08-11 14:25:21.148"
1916309,Zong,98,"2022-08-11 14:25:21.145","2022-08-11 14:25:21.148"
1916310,Zong,92,"2022-08-11 14:25:21.194","2022-08-11 14:25:21.199"
1916310,Zong,83,"2022-08-11 14:25:21.194","2022-08-11 14:25:21.199"
1916311,Zong,73,"2022-08-11 14:25:21.234","2022-08-11 14:25:21.237"
1916311,Zong,64,"2022-08-11 14:25:21.234","2022-08-11 14:25:21.237"
1916312,Zong,57,"2022-08-11 14:25:21.255","2022-08-11 14:25:21.260"
1916312,Zong,53,"2022-08-11 14:25:21.255","2022-08-11 14:25:21.260"
1916313,Zong,50,"2022-08-11 14:25:21.315","2022-08-11 14:25:21.324"
1916313,Zong,50,"2022-08-11 14:25:21.315","2022-08-11 14:25:21.324"
1916314,Zong,51,"2022-08-11 14:25:21.344","2022-08-11 14:25:21.357"
1916314,Zong,53,"2022-08-11 14:25:21.344","2022-08-11 14:25:21.357"
1916315,Zong,54,"2022-08-11 14:25:21.376","2022-08-11 14:25:21.381"
1916315,Zong,53,"2022-08-11 14:25:21.376","2022-08-11 14:25:21.381"
1916316,Zong,52,"2022-08-11 14:25:21.438","2022-08-11 14:25:21.442"
1916316,Zong,50,"2022-08-11 14:25:21.438","2022-08-11 14:25:21.442"
1916317,Zong,47,"2022-08-11 14:25:21.464","2022-08-11 14:25:21.468"
1916317,Zong,44,"2022-08-11 14:25:21.464","2022-08-11 14:25:21.468"
1916318,Zong,41,"2022-08-11 14:25:21.494","2022-08-11 14:25:21.498"
1916318,Zong,39,"2022-08-11 14:25:21.494","2022-08-11 14:25:21.498"
1916319,Zong,38,"2022-08-11 14:25:21.554","2022-08-11 14:25:21.558"
1916319,Zong,37,"2022-08-11 14:25:21.554","2022-08-11 14:25:21.558"
1916320,Zong,36,"2022-08-11 14:25:21.584","2022-08-11 14:25:21.603"
1916320,Zong,36,"2022-08-11 14:25:21.584","2022-08-11 14:25:21.603"
1916321,Zong,38,"2022-08-11 14:25:21.615","2022-08-11 14:25:21.627"
1916321,Zong,44,"2022-08-11 14:25:21.615","2022-08-11 14:25:21.627"
